entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
0	5	1	No Archive Warnings Apply,Gen,Sherlock (TV),Jim Moriarty,Poetry,Crown,Symbolism,Tower of London scene,Frailty of power,Emptiness of ambition,Acrostic,	17685704	Here is a crown and a man in a room  Overhead wooden bones of the building loom  Not a burden to bear  Ermine absent up there  Yet below is the womb of the power; below     Yes below, where the man and the crown are alone  Only symbols and heavy-band circlets and bone  Under beams, above floor, just the man on his own     Simple room, exhibition a central display  His, a lazy smile; teeth shattered glass in their rows  On the door are his eyes; empty room, empty gaze  Under time, over stone, power sat in its pose  Living breath of the man  Dead wherever he goes     So the crown is the mask  Empty crown  Empty eyes     Man in ermine and jeans  Every role a disguise     In the weight of the wait, and the slight-slipping smile  Nothing moves but the breath of the man for a while     (And he can't see the crown where he's sat)     Cape a noose round a neck; crown halo of lead  Room full up of the empty and broken and dead  One alone, without rules  Wearing t-shirt and jewels  No-one there but the crown in his head	Mortua Corona	191	General Audiences	In which Moriarty waits for his audience and the crown sits dead on his head.	0	2019-02-06	0
1	1	0	No Archive Warnings Apply,F/F,Marvel Cinematic Universe,Thor (Movies),The Avengers (Marvel Movies),Marvel,Jane Foster/Darcy Lewis,Maria Hill/Sif,Darcy Lewis,Jane Foster (Marvel),Maria Hill,Sif (Marvel),Femslash February,Femslash February 2019,Fluff and Humor,Alternate Universe,Drabble,	17685695	"""When the moon hits your eye like a big pizza pie, that's amore!""  ""Make her stop!""  ""What?""  ""MAKE HER STOP SINGING!""  ""When the world seems to shine like you've had too much wine...""  ""I CAN'T HEAR YOU!""  ""MAKE HER-""  ""...that's am- Mph!""  Darcy unsuccessfully tried to pull Maria's hand off her mouth. Jane let out a relieved breath.  ""Thank you.""  ""No problem.""  Maria glowered at Sif.  ""How long will this last?""  Sif was seemed amused by the situation.  ""The Draught Of Song? A fortnight."" Jane paled. ""Or until someone kisses her.""  Jane had seldom been happier to smooch her girlfriend."	Asgardian Booze Remix	100	General Audiences	Darcy, Asgardian alcohol an singing, oh my. (Written for Femslash February 2019. Jane/Darcy, Maria Hill/Sif, AU and complete.)	0	2019-02-06	0
2	19	2	No Archive Warnings Apply,M/M,Gotham (TV),Oswald Cobblepot/Jim Gordon,Oswald Cobblepot,Jim Gordon,Valentine&#39;s Day,Valentine&#39;s Day Fluff,Romance,Sentimental,Villains,Detectives,Love,True Love,Love Confessions,Enemies to Lovers,	17684480	Two Funny Valentines.       Prompt:  I saw that you were perfect, and so I loved you. Then I saw that you were not perfect and I loved you even more.    Jim to Oswald: 'Lee said that she loved me despite my faults.  You say you love me because of them. And you ask me why I tell you that you're ‘the one'?'   Oswald to Jim: 'I thought you were so perfect, and you would never want to be with a man like me.  Then you told me that my imperfections were in fact perfections, and you loved them more than anything else about me.  Then I knew for sure that you were the one.'   Prompt: There is always some madness in love.   Jim to Oswald: 'When I first kissed you, I thought I must be crazy.  Then when I took you home, I thought 'This is madness.'   Now I'm just crazy mad for you.'   Oswald to Jim:  'My life is crazy, but I'd be completely mad not to have you in it  - because YOU complete me.'	Two Funny Valentines	175	General Audiences	Short but hopefully sweet, some heartfelt Valentine's greetings written by Oswald and Jim - in response to prompts 8 and 9	0	2019-02-06	0
3	0	0	No Archive Warnings Apply,Gen,Colditz (1972),Pat Grant,Original Male Character(s),Polish Character - Character,Friendship,Drabble,	17684372	Pat and Aleksander Wójcik watched silently as the British and Poles played football. The fierce competitive nature of the Polish always led to a rather  vigorous  game.  'You British always play so fair!'  'The Poles forget they are not charging tanks upon horses.'  Pat smiled at his friend. Alek laughed, but frowned as a German sentry snapped at a player who had trodden too close.  Pat shivered at the burning hate in Alek's eyes, but was sympathetic. If his country had been violated by the Nazis wouldn't that same hate be reflected in him?  Thank God for the English channel.	Grace	100	General Audiences	'There but for the grace of God go I.'  Pat Grant watches football with his friend Aleksander Wójcik and reflects.	0	2019-02-06	0
4	64	12	No Archive Warnings Apply,F/M,Stargate SG-1,Samantha &quot;Sam&quot; Carter/Jack O&#39;Neill,Jack O&#39;Neill,Samantha &quot;Sam&quot; Carter,Episode: s04e01 Small Victories,Drabble,Nursery rhyme drabbles,	17683856	Lavender's blue, dilly dilly Lavender's green When I am King, dilly dilly You shall be Queen   As well as being a genius, she must have magical powers, because she still smells of lavender while he smells like a hobo.  It wasn't the vacation he'd planned. In a way, it was even better, because he sure as hell didn't think he'd get to spend it with Carter. Even if he did ask.  Only the location was wrong.  One day he'll get her all to himself in his own little kingdom, where they'll sit, enthroned, on the deck overlooking the pond. And he hopes that when they do, she'll still smell of lavender. And so will his sheets.	Their own little kingdom	116	General Audiences	A drabble for the nursery rhyme 'Lavender's blue'.	1	2019-02-06	0
5	20	2	No Archive Warnings Apply,M/M,Newsies - All Media Types,Spot Conlon/Racetrack Higgins,Racetrack Higgins,Spot Conlon,Light Angst,Period Typical Attitudes,they deserve better,	17683445	Lying there, with Spot only an arms reach away from him, it was heavenly. It would be disastrous if anyone ever found out, but doesn't that just make it all the more exciting? That was what Race had convinced himself was true, but the only thing he wanted was to be free of this weight on his shoulders, the guilt, and the suppression of all the emotions his father would tell him he would go to hell for. To live freely with the love of his life, that was all Race ever wished for. Maybe in another lifetime, one where everything has changed for the better, they would find each other again. Then everything would be heavenly. But for now, the tender embraces and the stolen kisses that could only be shared in the dark, they were heaven enough.	Heaven	139	General Audiences	Race reflects on his relationship with Spot	1	2019-02-06	1
6	43	2	No Archive Warnings Apply,Gen,Game of Thrones (TV),A Song of Ice and Fire - George R. R. Martin,Cersei Lannister/Tyrion Lannister,Cersei Lannister &amp; Tyrion Lannister,Cersei Lannister,Tyrion Lannister,Jaime Lannister,Tywin Lannister,Joanna Lannister,Tommen Baratheon,Myrcella Baratheon,Joffrey Baratheon,No Incest,Drabble,Reconciliation,Reunions,	17682971	' Was there ever a moment when you didn't wish for my death? ' Tyrion whispers to Cersei.    Cersei observes Tyrion without allowing any type of emotion to show up. She thinks about it for a while. Her mother Joanna is dead, her father Tywin is dead. Her son Joffrey is dead, her daughter Myrcella is dead, her son Tommen is dead. Her twin brother Jaime is alive but dead to her too. But Tyrion is here, with her, now.  He's the last piece of her family, along with the baby she's carrying in her womb .   She pours  bloody wine  into a  golden cup .   She extends her arm to him, her eyes meets his eyes, she hands it to him. She waits for him to take it, making their fingers lightly brush each other.  It's the slightest form of love that she can grant herself to feel for him .    ' Stay by my side until the end ' Cersei whispers back to Tyrion.	The lioness and the lion	159	General Audiences	Tyrion and Cersei's sort of reconciliation.	0	2019-02-06	0
7	30	3	No Archive Warnings Apply,F/F,Steven Universe (Cartoon),Ruby/Sapphire (Steven Universe),Ruby (Steven Universe),Sapphire (Steven Universe),Valentine&#39;s Day Fluff,Valentine&#39;s Day,Fluff,Tooth-Rotting Fluff,Movie Night,Humor,Shout-outs,Silly,Short One Shot,Short &amp; Sweet,Double Drabble,Dialogue Heavy,	17682707	"""Ruby.""  ""What?""  ""I'm thinking about putting on a movie for the two of us!""  ""That sounds awesome! What movie are we watching tonight?""  ""Take a guess. However, I  will  give you a hint: it's a romance movie we're both  quite  familiar with.""  ""Ooh, ooh--is it the one about the two space explorers who pilot giant lion mechs?""  ""No.""  ""Wait, don't me-- it's the one about the Avatar and the nonbender!""  ""Good guess, but no.""  ""The one about the lawyer and the prosecutor?""  ""No.""  ""The two battle monster trainers?""  ""Nope.""  ""The vampire and the candy princess?""  Sapphire shook her head.  ""The Spanish con men?""  ""Nah.""  ""The two ice skaters?""  ""Nope.""  ""The alien scarab and the super-speed hero?""  ""No.""  ""The two high school swimmers?""  ""Nope!""  ""The catgirl and the warrior princess?""  ""Sorry!""  Ruby threw her hands up in defeat. ""Well, I give up!""  ""Okay, now I'll tell you--It's the one about the scientist alien and the Earth expert alien who sent down together to that planet to search for their escaped experiment.""  Stars appeared in Ruby's eyes. ""Oh. My Cosmos--I  love  that movie!"" she squealed.  ""Me too!"" giddily replied Sapphire.  ""I'll get the popcorn!""  ""I'll get the ice cream!"""	Let's Watch a Movie!	200	General Audiences	Ruby and Sapphire play the guessing game on what movie they want to watch tonight.	0	2019-02-06	0
8	25	7	No Archive Warnings Apply,Gen,The Avengers (TV 1961),Emma Peel,Tattoos,	17681711	"""Not to my tastes for myself,"" Emma said, even as she accepted the invitation to inspect the art on the Tattooed Woman's back. ""But I can admire those who take the time to endure the process, and become a canvas of art for posterity.""  ""I suppose in your line of work, it would mark you out too much.""  ""Indeed."" Emma studied the most recent additions, and what she'd been looking for. ""Thank you, miss. Your latest artist did leave a clue for me in this.""  ""Glad to help,"" the woman answered, before pulling her robe on and seeing Emma out."	Inked Clue	100	General Audiences	Emma is working a mystery that leads to a Tattooed Lady. (snippet scene)	1	2019-02-06	0
9	11	1	No Archive Warnings Apply,M/M,Hetalia: Axis Powers,China/Russia (Hetalia),Russia (Hetalia),China (Hetalia),2P China (Hetalia),2P Russia (Hetalia) - Freeform,2P Hetalia,	17680817	'You don't strike me as a criminal.' Viktor stated, his tone surprisingly calm and collected for someone who just witnessed their boyfriend order two men to ‘deal with someone.'  Jia glanced up from the paperwork on his desk, his magenta coloured eyes meeting the Russian's maroon ones. His face adopted a lazy smile, leaning back in his chair slightly. 'Well,' Jia purred. 'That's what makes me so good at it.'  Viktor paused. He inhaled, slightly taken aback at how laidback the Asian was about the whole situation. How calm and lax he was. Like it was all normal.  The worst thing, however, was that Viktor knew that Jia was right.	Secret	110	General Audiences	2p Russia = Viktor 2p China = Jia	0	2019-02-06	0
